recipe_id,ing_id,ing_name,cat,continent
261327,16258,heavy whipping cream,dairy,LAT
261362,6305,vegetable oil,condiment,LAT
261362,1650,white rice,grain,LAT
261362,4397,onion,plant,LAT
261362,20551,ground cumin,spice,LAT
261403,1684,all-purpose flour,grain,LAT
261403,16339,unsalted butter,dairy,LAT
261403,16339,unsalted butter,dairy,LAT
260842,2779,canned black beans,plantproduct,LAT
260842,4397,onion,plant,LAT
260842,4342,garlic,spice,LAT
260842,20551,ground cumin,spice,LAT
260842,16406,ground black pepper,spice,LAT
260842,16380,bay leaf,spice,LAT
260842,6307,olive oil,condiment,LAT
260842,16157,butter,dairy,LAT
260842,3717,fresh cilantro,spice,LAT
260036,20497,poblano chile pepper,plant,LAT
260036,6305,vegetable oil,condiment,LAT
260036,4397,onion,plant,LAT
260036,4342,garlic,spice,LAT
260036,3717,fresh cilantro,spice,LAT
260036,5112,lime juice,plantproduct,LAT
260036,1650,white rice,grain,LAT
260037,20497,poblano chile pepper,plant,LAT
260037,6305,vegetable oil,condiment,LAT
260038,6305,vegetable oil,condiment,LAT
260038,4311,fresh corn kernel,plant,LAT
260038,4397,onion,plant,LAT
260038,20497,poblano chile pepper,plant,LAT
260038,4342,garlic,spice,LAT
260059,20497,poblano chile pepper,plant,LAT
260059,16133,chicken broth,animal,LAT
260059,4397,onion,plant,LAT
260059,4342,garlic,spice,LAT
260059,6305,vegetable oil,condiment,LAT
260059,1650,white rice,grain,LAT
260305,5112,lime juice,plantproduct,LAT
260305,4342,garlic,spice,LAT
260305,20551,ground cumin,spice,LAT
260305,18794,whole clove,spice,LAT
260305,6305,vegetable oil,condiment,LAT
260305,4397,onion,plant,LAT
260305,4572,tomato,plant,LAT
260305,4397,onion,plant,LAT
260305,4342,garlic,spice,LAT
260305,2351,corn tortilla,grain,LAT
260305,4397,onion,plant,LAT
260305,3717,fresh cilantro,spice,LAT
260306,3701,tomatillo,plant,LAT
260306,6305,vegetable oil,condiment,LAT
260306,2351,corn tortilla,grain,LAT
260306,4397,onion,plant,LAT
260306,3717,fresh cilantro,spice,LAT
260317,4442,potato,plant,LAT
260317,6305,vegetable oil,condiment,LAT
260317,2351,corn tortilla,grain,LAT
260650,1526,white sugar,condiment,LAT
260650,16294,sweetened condensed milk,dairy,LAT
260650,16347,evaporated milk,dairy,LAT
260650,16317,egg,animal,LAT
260650,16424,vanilla extract,plantproduct,LAT
260651,16157,butter,dairy,LAT
260651,1684,all-purpose flour,grain,LAT
260651,16317,egg,animal,LAT
260651,1526,white sugar,condiment,LAT
260651,16294,sweetened condensed milk,dairy,LAT
260651,16347,evaporated milk,dairy,LAT
260651,16258,heavy whipping cream,dairy,LAT
260651,16258,heavy whipping cream,dairy,LAT
256087,5199,plantain,plantproduct,LAT
256087,16278,milk,dairy,LAT
256087,6281,lard,animal,LAT
256087,6307,olive oil,condiment,LAT
256087,4397,onion,plant,LAT
256087,4432,green bell pepper,plant,LAT
256087,4183,pork shoulder,animal,LAT
256087,4582,tomato sauce,plantproduct,LAT
256087,5140,orange juice,plantproduct,LAT
256087,3717,fresh cilantro,spice,LAT
256087,16403,dried oregano,spice,LAT
256087,4342,garlic,spice,LAT
255910,4267,cabbage,plant,LAT
255910,20270,white onion,plant,LAT
255910,4279,carrot,plant,LAT
255910,7842,white vinegar,condiment,LAT
255910,16403,dried oregano,spice,LAT
256678,4343,fresh ginger root,spice,LAT
256678,18794,whole clove,spice,LAT
256678,1526,white sugar,condiment,LAT
257186,6307,olive oil,condiment,LAT
257186,4397,onion,plant,LAT
257186,4342,garlic,spice,LAT
257186,3717,fresh cilantro,spice,LAT
257186,16403,dried oregano,spice,LAT
257186,4582,tomato sauce,plantproduct,LAT
