_ - _ - recipe_id,_ - _ - ingredients - _ - ing_id,_ - _ - ingredients - _ - ing_name,cat
38046,1525,brown sugar,condiment
38046,4343,fresh ginger root,spice
38046,4342,garlic,spice
38046,16406,ground black pepper,spice
33252,4397,onion,plant
33252,18860,fresh mint,plant
33252,3717,fresh cilantro,spice
33252,20551,ground cumin,spice
33252,16404,paprika,spice
33252,16407,cayenne pepper,spice
33252,6305,vegetable oil,condiment
84142,16133,chicken broth,animal
84142,8336,rice wine,condiment
84142,2882,soy sauce,condiment
84142,1636,cornstarch,plantproduct
84142,1526,white sugar,condiment
84142,16408,ground white pepper,spice
84142,6305,vegetable oil,condiment
84142,4342,garlic,spice
84142,4343,fresh ginger root,spice
84142,6305,vegetable oil,condiment
84142,4412,snow pea,plant
43628,6305,vegetable oil,condiment
43628,6494,chicken breast,animal
43628,4397,onion,plant
43628,16133,chicken broth,animal
43628,4279,carrot,plant
43628,1526,white sugar,condiment
43628,2882,soy sauce,condiment
43628,4405,green onion,spice
43628,16317,egg,animal
40351,4176,ground pork,animal
40351,4397,onion,plant
40351,4279,carrot,plant
40351,2882,soy sauce,condiment
40351,16406,ground black pepper,spice
40351,16396,garlic powder,spice
40351,2355,wonton wrapper,grain
40351,20482,frying oil,condiment
139339,6304,peanut oil,condiment
139339,4342,garlic,spice
139339,5597,fish sauce,condiment
139339,16159,fresh basil,spice
170566,2882,soy sauce,condiment
170566,6309,sesame oil,condiment
170566,1526,white sugar,condiment
170566,4342,garlic,spice
170566,16397,ground ginger,spice
220181,2882,soy sauce,condiment
220181,1525,brown sugar,condiment
220181,4405,green onion,spice
220181,6494,chicken breast,animal
220181,7842,white vinegar,condiment
220181,18868,rice vinegar,condiment
220181,2882,soy sauce,condiment
220181,6309,sesame oil,condiment
220181,1525,brown sugar,condiment
220181,3686,ketchup,condiment
220181,4342,garlic,spice
220181,1636,cornstarch,plantproduct
220181,6304,peanut oil,condiment
220181,4529,zucchini,plant
220181,4786,red bell pepper,plant
220181,16133,chicken broth,animal
220181,2850,peanuts,grain
220181,4405,green onion,spice
220181,1651,white rice,grain
215795,5596,oyster sauce,condiment
215795,2882,soy sauce,condiment
215795,1525,brown sugar,condiment
215795,6305,vegetable oil,condiment
215795,6307,olive oil,condiment
215795,4405,green onion,spice
215795,4342,garlic,spice
246172,4397,onion,plant
246172,4405,green onion,spice
246172,2882,soy sauce,condiment
246172,1526,white sugar,condiment
246172,4342,garlic,spice
246172,6309,sesame oil,condiment
